# Trials behind speed.md. Written by `mise run bench:speed`; do not edit by hand.
# Date: 2026-09-25
# Roblox: 0.740.19.7400931
# Machine: 12th Gen Intel(R) Core(TM) i9-12900KF, 16 threads, win32 10.0.26200
# Runs: 2, back to back
# surge: c295e5b
# rbxts-transformer-surge: ac69b4d
# roblox-ts: 3.0.0
# @rbxts/flamework-binary-serializer: 0.7.0
# @rbxts/serio: 1.2.7
# Blink: 0.18.8
# Method: 9 trials per cell, each at least 0.2 seconds of calls after 0.1 seconds of warm-up calls, timed in chunks of 250 calls so that the yields between chunks are not in the time; within a row the libraries take turns, one trial each, and 3 idle frames separate one row from the next
fixture	library	half	run	trial	rate
small flat struct	baseline	decode	2	7	5578580
small flat struct	baseline	decode	2	8	5781864
small flat struct	baseline	decode	2	9	5669152
deeply nested object	surge	encode	1	1	3349380
deeply nested object	surge	encode	1	2	3414696
deeply nested object	surge	encode	1	3	3445211
deeply nested object	surge	encode	1	4	3494247
deeply nested object	surge	encode	1	5	3408639
deeply nested object	surge	encode	1	6	3450841
deeply nested object	surge	encode	1	7	3466018
deeply nested object	surge	encode	1	8	3485725
deeply nested object	surge	encode	1	9	3486905
deeply nested object	surge	encode	2	1	3450279
deeply nested object	surge	encode	2	2	3432107
deeply nested object	surge	encode	2	3	3452243
deeply nested object	surge	encode	2	4	3434140
deeply nested object	surge	encode	2	5	3423055
deeply nested object	surge	encode	2	6	3468985
deeply nested object	surge	encode	2	7	3361981
deeply nested object	surge	encode	2	8	3436328
deeply nested object	surge	encode	2	9	3481191
deeply nested object	surge	decode	1	1	2486461
deeply nested object	surge	decode	1	2	2423908
deeply nested object	surge	decode	1	3	2418700
deeply nested object	surge	decode	1	4	2430805
deeply nested object	surge	decode	1	5	2391561
deeply nested object	surge	decode	1	6	2414699
deeply nested object	surge	decode	1	7	2448920
deeply nested object	surge	decode	1	8	2465643
deeply nested object	surge	decode	1	9	2472742
deeply nested object	surge	decode	2	1	2448553
deeply nested object	surge	decode	2	2	2475984
deeply nested object	surge	decode	2	3	2449826
deeply nested object	surge	decode	2	4	2424904
deeply nested object	surge	decode	2	5	2283760
deeply nested object	surge	decode	2	6	2461781
deeply nested object	surge	decode	2	7	2462093
deeply nested object	surge	decode	2	8	2413533
deeply nested object	surge	decode	2	9	2476506
deeply nested object	surge (readChecks)	encode	1	1	3248318
deeply nested object	surge (readChecks)	encode	1	2	3295408
deeply nested object	surge (readChecks)	encode	1	3	3288342
deeply nested object	surge (readChecks)	encode	1	4	3179002
deeply nested object	surge (readChecks)	encode	1	5	3249498
deeply nested object	surge (readChecks)	encode	1	6	3293381
deeply nested object	surge (readChecks)	encode	1	7	3282619
deeply nested object	surge (readChecks)	encode	1	8	3230586
deeply nested object	surge (readChecks)	encode	1	9	3224523
deeply nested object	surge (readChecks)	encode	2	1	3456084
deeply nested object	surge (readChecks)	encode	2	2	3449845
deeply nested object	surge (readChecks)	encode	2	3	3366325
deeply nested object	surge (readChecks)	encode	2	4	3358590
deeply nested object	surge (readChecks)	encode	2	5	3468596
deeply nested object	surge (readChecks)	encode	2	6	3422963
deeply nested object	surge (readChecks)	encode	2	7	3433420
deeply nested object	surge (readChecks)	encode	2	8	3368026
deeply nested object	surge (readChecks)	encode	2	9	3360040
deeply nested object	surge (readChecks)	decode	1	1	2262968
deeply nested object	surge (readChecks)	decode	1	2	2254690
deeply nested object	surge (readChecks)	decode	1	3	2276490
deeply nested object	surge (readChecks)	decode	1	4	2233059
deeply nested object	surge (readChecks)	decode	1	5	2255880
deeply nested object	surge (readChecks)	decode	1	6	2277668
deeply nested object	surge (readChecks)	decode	1	7	2283477
deeply nested object	surge (readChecks)	decode	1	8	2247438
deeply nested object	surge (readChecks)	decode	1	9	2245572
deeply nested object	surge (readChecks)	decode	2	1	2297191
deeply nested object	surge (readChecks)	decode	2	2	2283982
deeply nested object	surge (readChecks)	decode	2	3	2240906
deeply nested object	surge (readChecks)	decode	2	4	2179172
deeply nested object	surge (readChecks)	decode	2	5	2167407
deeply nested object	surge (readChecks)	decode	2	6	2247031
deeply nested object	surge (readChecks)	decode	2	7	2257505
deeply nested object	surge (readChecks)	decode	2	8	2267393
deeply nested object	surge (readChecks)	decode	2	9	2271992
deeply nested object	fbs	encode	1	1	1831674
deeply nested object	fbs	encode	1	2	1811176
deeply nested object	fbs	encode	1	3	1821411
deeply nested object	fbs	encode	1	4	1764263
deeply nested object	fbs	encode	1	5	1785431
deeply nested object	fbs	encode	1	6	1811038
deeply nested object	fbs	encode	1	7	1801306
deeply nested object	fbs	encode	1	8	1817885
deeply nested object	fbs	encode	1	9	1815422
deeply nested object	fbs	encode	2	1	1839606
deeply nested object	fbs	encode	2	2	1807962
deeply nested object	fbs	encode	2	3	1788516
deeply nested object	fbs	encode	2	4	1827435
deeply nested object	fbs	encode	2	5	1814088
deeply nested object	fbs	encode	2	6	1789887
deeply nested object	fbs	encode	2	7	1776007
deeply nested object	fbs	encode	2	8	1737056
deeply nested object	fbs	encode	2	9	1792297
deeply nested object	fbs	decode	1	1	1557181
deeply nested object	fbs	decode	1	2	1534926
deeply nested object	fbs	decode	1	3	1560152
deeply nested object	fbs	decode	1	4	1548577
deeply nested object	fbs	decode	1	5	1564271
deeply nested object	fbs	decode	1	6	1578057
deeply nested object	fbs	decode	1	7	1573648
deeply nested object	fbs	decode	1	8	1568837
deeply nested object	fbs	decode	1	9	1561065
