# Trials behind speed.md. Written by `mise run bench:speed`; do not edit by hand.
# Date: 2026-09-24
# Roblox: 0.740.19.7400931
# Machine: 12th Gen Intel(R) Core(TM) i9-12900KF, 16 threads, win32 10.0.26200
# Runs: 2, back to back
# surge: 56b6fd5
# rbxts-transformer-surge: 0710f5d (uncommitted changes)
# roblox-ts: 3.0.0
# @rbxts/flamework-binary-serializer: 0.7.0
# @rbxts/serio: 1.2.7
# Blink: 0.18.8
# Method: 9 trials per cell, each at least 0.2 seconds of calls after 0.1 seconds of warm-up calls, timed in chunks of 250 calls so that the yields between chunks are not in the time; within a row the libraries take turns, one trial each, and 3 idle frames separate one row from the next
fixture	library	half	run	trial	rate
small flat struct	baseline	encode	2	7	5888697
small flat struct	baseline	encode	2	8	5964711
small flat struct	baseline	encode	2	9	5781120
small flat struct	baseline	decode	1	1	5367397
small flat struct	baseline	decode	1	2	5682832
small flat struct	baseline	decode	1	3	5510209
small flat struct	baseline	decode	1	4	5576482
small flat struct	baseline	decode	1	5	5806777
small flat struct	baseline	decode	1	6	5426078
small flat struct	baseline	decode	1	7	5332276
small flat struct	baseline	decode	1	8	5426150
small flat struct	baseline	decode	1	9	5424227
small flat struct	baseline	decode	2	1	4822134
small flat struct	baseline	decode	2	2	4490785
small flat struct	baseline	decode	2	3	4638785
small flat struct	baseline	decode	2	4	4948500
small flat struct	baseline	decode	2	5	5504843
small flat struct	baseline	decode	2	6	4862432
small flat struct	baseline	decode	2	7	4429976
small flat struct	baseline	decode	2	8	4946030
small flat struct	baseline	decode	2	9	4868336
deeply nested object	surge	encode	1	1	2302028
deeply nested object	surge	encode	1	2	2338452
deeply nested object	surge	encode	1	3	2316649
deeply nested object	surge	encode	1	4	2277690
deeply nested object	surge	encode	1	5	2334289
deeply nested object	surge	encode	1	6	2303505
deeply nested object	surge	encode	1	7	2352196
deeply nested object	surge	encode	1	8	2340105
deeply nested object	surge	encode	1	9	2234508
deeply nested object	surge	encode	2	1	2250041
deeply nested object	surge	encode	2	2	2226966
deeply nested object	surge	encode	2	3	2201206
