# Trials behind speed.md. Written by `mise run bench:speed`; do not edit by hand.
# Date: 2026-09-24
# Roblox: 0.740.19.7400931
# Machine: 12th Gen Intel(R) Core(TM) i9-12900KF, 16 threads, win32 10.0.26200
# Runs: 2, back to back
# surge: 56b6fd5
# rbxts-transformer-surge: 0710f5d (uncommitted changes)
# roblox-ts: 3.0.0
# @rbxts/flamework-binary-serializer: 0.7.0
# @rbxts/serio: 1.2.7
# Blink: 0.18.8
# Method: 9 trials per cell, each at least 0.2 seconds of calls after 0.1 seconds of warm-up calls, timed in chunks of 250 calls so that the yields between chunks are not in the time; within a row the libraries take turns, one trial each, and 3 idle frames separate one row from the next
fixture	library	half	run	trial	rate
deeply nested object	surge	decode	2	8	2534594
deeply nested object	surge	decode	2	9	2540846
deeply nested object	fbs	encode	1	1	1666161
deeply nested object	fbs	encode	1	2	1686133
deeply nested object	fbs	encode	1	3	1649767
deeply nested object	fbs	encode	1	4	1662909
deeply nested object	fbs	encode	1	5	1660096
deeply nested object	fbs	encode	1	6	1656089
deeply nested object	fbs	encode	1	7	1635029
deeply nested object	fbs	encode	1	8	1650830
deeply nested object	fbs	encode	1	9	1643472
deeply nested object	fbs	encode	2	1	1672264
deeply nested object	fbs	encode	2	2	1647384
deeply nested object	fbs	encode	2	3	1660774
deeply nested object	fbs	encode	2	4	1655632
deeply nested object	fbs	encode	2	5	1674032
deeply nested object	fbs	encode	2	6	1674785
deeply nested object	fbs	encode	2	7	1678423
deeply nested object	fbs	encode	2	8	1686158
deeply nested object	fbs	encode	2	9	1682333
deeply nested object	fbs	decode	1	1	1543725
deeply nested object	fbs	decode	1	2	1534068
deeply nested object	fbs	decode	1	3	1550518
deeply nested object	fbs	decode	1	4	1488952
deeply nested object	fbs	decode	1	5	1535100
deeply nested object	fbs	decode	1	6	1523604
deeply nested object	fbs	decode	1	7	1534715
deeply nested object	fbs	decode	1	8	1547303
deeply nested object	fbs	decode	1	9	1542848
deeply nested object	fbs	decode	2	1	1550435
deeply nested object	fbs	decode	2	2	1583083
deeply nested object	fbs	decode	2	3	1591705
deeply nested object	fbs	decode	2	4	1586969
deeply nested object	fbs	decode	2	5	1572424
deeply nested object	fbs	decode	2	6	1570152
deeply nested object	fbs	decode	2	7	1583937
deeply nested object	fbs	decode	2	8	1573880
deeply nested object	fbs	decode	2	9	1584983
deeply nested object	serio	encode	1	1	471935
deeply nested object	serio	encode	1	2	463633
deeply nested object	serio	encode	1	3	472210
deeply nested object	serio	encode	1	4	467957
deeply nested object	serio	encode	1	5	469248
deeply nested object	serio	encode	1	6	464604
deeply nested object	serio	encode	1	7	468082
deeply nested object	serio	encode	1	8	461960
deeply nested object	serio	encode	1	9	457966
deeply nested object	serio	encode	2	1	477193
deeply nested object	serio	encode	2	2	471584
deeply nested object	serio	encode	2	3	469383
deeply nested object	serio	encode	2	4	464226
deeply nested object	serio	encode	2	5	468682
deeply nested object	serio	encode	2	6	465710
deeply nested object	serio	encode	2	7	472586
deeply nested object	serio	encode	2	8	477782
deeply nested object	serio	encode	2	9	469357
deeply nested object	serio	decode	1	1	764464
deeply nested object	serio	decode	1	2	765308
deeply nested object	serio	decode	1	3	750697
deeply nested object	serio	decode	1	4	761139
deeply nested object	serio	decode	1	5	758936
deeply nested object	serio	decode	1	6	752342
deeply nested object	serio	decode	1	7	758231
deeply nested object	serio	decode	1	8	751505
deeply nested object	serio	decode	1	9	753199
deeply nested object	serio	decode	2	1	769695
deeply nested object	serio	decode	2	2	751644
deeply nested object	serio	decode	2	3	751521
deeply nested object	serio	decode	2	4	744432
deeply nested object	serio	decode	2	5	755946
deeply nested object	serio	decode	2	6	747748
deeply nested object	serio	decode	2	7	745985
deeply nested object	serio	decode	2	8	752688
deeply nested object	serio	decode	2	9	752433
deeply nested object	blink	encode	1	1	2219778
deeply nested object	blink	encode	1	2	2218991
deeply nested object	blink	encode	1	3	2157503
deeply nested object	blink	encode	1	4	2152061
deeply nested object	blink	encode	1	5	2158405
deeply nested object	blink	encode	1	6	2224705
deeply nested object	blink	encode	1	7	2214880
deeply nested object	blink	encode	1	8	2187463
