# Trials behind speed.md. Written by `mise run bench:speed`; do not edit by hand.
# Date: 2026-09-24
# Roblox: 0.740.19.7400931
# Machine: 12th Gen Intel(R) Core(TM) i9-12900KF, 16 threads, win32 10.0.26200
# Runs: 2, back to back
# surge: 56b6fd5 (uncommitted changes)
# rbxts-transformer-surge: 0710f5d (uncommitted changes)
# roblox-ts: 3.0.0
# @rbxts/flamework-binary-serializer: 0.7.0
# @rbxts/serio: 1.2.7
# Blink: 0.18.8
# Method: 9 trials per cell, each at least 0.2 seconds of calls after 0.1 seconds of warm-up calls, timed in chunks of 250 calls so that the yields between chunks are not in the time; within a row the libraries take turns, one trial each, and 3 idle frames separate one row from the next
fixture	library	half	run	trial	rate
deeply nested object	fbs	encode	1	8	1558388
deeply nested object	fbs	encode	1	9	1564670
deeply nested object	fbs	encode	2	1	1550450
deeply nested object	fbs	encode	2	2	1589263
deeply nested object	fbs	encode	2	3	1584822
deeply nested object	fbs	encode	2	4	1572735
deeply nested object	fbs	encode	2	5	1580183
deeply nested object	fbs	encode	2	6	1598076
deeply nested object	fbs	encode	2	7	1565049
deeply nested object	fbs	encode	2	8	1548529
deeply nested object	fbs	encode	2	9	1603505
deeply nested object	fbs	decode	1	1	1435049
deeply nested object	fbs	decode	1	2	1489645
deeply nested object	fbs	decode	1	3	1520734
deeply nested object	fbs	decode	1	4	1532302
deeply nested object	fbs	decode	1	5	1473181
deeply nested object	fbs	decode	1	6	1475989
deeply nested object	fbs	decode	1	7	1506279
deeply nested object	fbs	decode	1	8	1475566
deeply nested object	fbs	decode	1	9	1483674
deeply nested object	fbs	decode	2	1	1504079
deeply nested object	fbs	decode	2	2	1509897
deeply nested object	fbs	decode	2	3	1505319
deeply nested object	fbs	decode	2	4	1500626
deeply nested object	fbs	decode	2	5	1527967
deeply nested object	fbs	decode	2	6	1512222
deeply nested object	fbs	decode	2	7	1516303
deeply nested object	fbs	decode	2	8	1530200
deeply nested object	fbs	decode	2	9	1515176
deeply nested object	serio	encode	1	1	467920
deeply nested object	serio	encode	1	2	471176
deeply nested object	serio	encode	1	3	468420
deeply nested object	serio	encode	1	4	473915
deeply nested object	serio	encode	1	5	468560
deeply nested object	serio	encode	1	6	468812
deeply nested object	serio	encode	1	7	472752
deeply nested object	serio	encode	1	8	468662
deeply nested object	serio	encode	1	9	469231
deeply nested object	serio	encode	2	1	475312
deeply nested object	serio	encode	2	2	458411
deeply nested object	serio	encode	2	3	466592
deeply nested object	serio	encode	2	4	464072
deeply nested object	serio	encode	2	5	465416
deeply nested object	serio	encode	2	6	468870
deeply nested object	serio	encode	2	7	471666
deeply nested object	serio	encode	2	8	469672
deeply nested object	serio	encode	2	9	455300
deeply nested object	serio	decode	1	1	747092
deeply nested object	serio	decode	1	2	743099
deeply nested object	serio	decode	1	3	745413
deeply nested object	serio	decode	1	4	730750
deeply nested object	serio	decode	1	5	743657
deeply nested object	serio	decode	1	6	743468
deeply nested object	serio	decode	1	7	741358
deeply nested object	serio	decode	1	8	735683
deeply nested object	serio	decode	1	9	740542
deeply nested object	serio	decode	2	1	737091
deeply nested object	serio	decode	2	2	742425
deeply nested object	serio	decode	2	3	742512
deeply nested object	serio	decode	2	4	739232
deeply nested object	serio	decode	2	5	745456
deeply nested object	serio	decode	2	6	746371
deeply nested object	serio	decode	2	7	739503
deeply nested object	serio	decode	2	8	745703
deeply nested object	serio	decode	2	9	742483
deeply nested object	blink	encode	1	1	2217280
deeply nested object	blink	encode	1	2	2047915
deeply nested object	blink	encode	1	3	2123671
deeply nested object	blink	encode	1	4	2195640
deeply nested object	blink	encode	1	5	2044882
deeply nested object	blink	encode	1	6	2062312
deeply nested object	blink	encode	1	7	2090719
deeply nested object	blink	encode	1	8	2049086
deeply nested object	blink	encode	1	9	2067888
deeply nested object	blink	encode	2	1	2043989
deeply nested object	blink	encode	2	2	2070306
deeply nested object	blink	encode	2	3	2020629
deeply nested object	blink	encode	2	4	2063406
deeply nested object	blink	encode	2	5	2064994
deeply nested object	blink	encode	2	6	2056498
deeply nested object	blink	encode	2	7	2055630
deeply nested object	blink	encode	2	8	2034551
deeply nested object	blink	encode	2	9	2088152
deeply nested object	blink	decode	1	1	1629198
deeply nested object	blink	decode	1	2	1651636
deeply nested object	blink	decode	1	3	1585506
deeply nested object	blink	decode	1	4	1556535
deeply nested object	blink	decode	1	5	1595455
deeply nested object	blink	decode	1	6	1580646
deeply nested object	blink	decode	1	7	1576061
deeply nested object	blink	decode	1	8	1583598
deeply nested object	blink	decode	1	9	1574643
deeply nested object	blink	decode	2	1	1617229
deeply nested object	blink	decode	2	2	1623614
deeply nested object	blink	decode	2	3	1611200
deeply nested object	blink	decode	2	4	1612595
deeply nested object	blink	decode	2	5	1628281
deeply nested object	blink	decode	2	6	1650527
deeply nested object	blink	decode	2	7	1648907
deeply nested object	blink	decode	2	8	1641051
deeply nested object	blink	decode	2	9	1632480
deeply nested object	baseline	encode	1	1	4630248
deeply nested object	baseline	encode	1	2	4233810
deeply nested object	baseline	encode	1	3	4367314
deeply nested object	baseline	encode	1	4	4475857
deeply nested object	baseline	encode	1	5	4249063
deeply nested object	baseline	encode	1	6	4247198
deeply nested object	baseline	encode	1	7	4252145
deeply nested object	baseline	encode	1	8	4249764
deeply nested object	baseline	encode	1	9	4239385
deeply nested object	baseline	encode	2	1	4227165
deeply nested object	baseline	encode	2	2	4252443
deeply nested object	baseline	encode	2	3	4239695
deeply nested object	baseline	encode	2	4	4212220
deeply nested object	baseline	encode	2	5	4229896
deeply nested object	baseline	encode	2	6	4240376
deeply nested object	baseline	encode	2	7	4209444
deeply nested object	baseline	encode	2	8	4248535
deeply nested object	baseline	encode	2	9	4221432
deeply nested object	baseline	decode	1	1	2584948
deeply nested object	baseline	decode	1	2	2573642
deeply nested object	baseline	decode	1	3	2665464
deeply nested object	baseline	decode	1	4	2435736
deeply nested object	baseline	decode	1	5	2572711
deeply nested object	baseline	decode	1	6	2524650
deeply nested object	baseline	decode	1	7	2475650
deeply nested object	baseline	decode	1	8	2452469
deeply nested object	baseline	decode	1	9	2436358
deeply nested object	baseline	decode	2	1	2586915
deeply nested object	baseline	decode	2	2	2597212
deeply nested object	baseline	decode	2	3	2621900
deeply nested object	baseline	decode	2	4	2599800
deeply nested object	baseline	decode	2	5	2640763
deeply nested object	baseline	decode	2	6	2562402
deeply nested object	baseline	decode	2	7	2603427
deeply nested object	baseline	decode	2	8	2629800
deeply nested object	baseline	decode	2	9	2648206
wide struct	surge	encode	1	1	2380334
wide struct	surge	encode	1	2	2323508
wide struct	surge	encode	1	3	2420327
wide struct	surge	encode	1	4	2321911
wide struct	surge	encode	1	5	2358658
wide struct	surge	encode	1	6	2373428
wide struct	surge	encode	1	7	2272823
wide struct	surge	encode	1	8	2346760
wide struct	surge	encode	1	9	2384812
wide struct	surge	encode	2	1	2374138
wide struct	surge	encode	2	2	2343086
wide struct	surge	encode	2	3	2399984
wide struct	surge	encode	2	4	2242430
wide struct	surge	encode	2	5	2264200
wide struct	surge	encode	2	6	2376361
wide struct	surge	encode	2	7	2347473
wide struct	surge	encode	2	8	2340827
wide struct	surge	encode	2	9	2362165
wide struct	surge	decode	1	1	640493
wide struct	surge	decode	1	2	592776
wide struct	surge	decode	1	3	616846
wide struct	surge	decode	1	4	657092
wide struct	surge	decode	1	5	665160
wide struct	surge	decode	1	6	658439
wide struct	surge	decode	1	7	632337
wide struct	surge	decode	1	8	665797
wide struct	surge	decode	1	9	646502
wide struct	surge	decode	2	1	672063
wide struct	surge	decode	2	2	694503
wide struct	surge	decode	2	3	681769
wide struct	surge	decode	2	4	653145
wide struct	surge	decode	2	5	662056
wide struct	surge	decode	2	6	648425
wide struct	surge	decode	2	7	651002
wide struct	surge	decode	2	8	676981
wide struct	surge	decode	2	9	628688
wide struct	fbs	encode	1	1	714964
wide struct	fbs	encode	1	2	736415
wide struct	fbs	encode	1	3	723711
wide struct	fbs	encode	1	4	722858
wide struct	fbs	encode	1	5	722717
wide struct	fbs	encode	1	6	729605
wide struct	fbs	encode	1	7	718216
wide struct	fbs	encode	1	8	713565
wide struct	fbs	encode	1	9	733961
wide struct	fbs	encode	2	1	676784
wide struct	fbs	encode	2	2	675942
wide struct	fbs	encode	2	3	670172
wide struct	fbs	encode	2	4	661561
wide struct	fbs	encode	2	5	648738
wide struct	fbs	encode	2	6	677689
wide struct	fbs	encode	2	7	673975
wide struct	fbs	encode	2	8	679378
wide struct	fbs	encode	2	9	673285
wide struct	fbs	decode	1	1	474870
wide struct	fbs	decode	1	2	467817
wide struct	fbs	decode	1	3	493827
wide struct	fbs	decode	1	4	490906
wide struct	fbs	decode	1	5	503890
wide struct	fbs	decode	1	6	497389
wide struct	fbs	decode	1	7	509583
wide struct	fbs	decode	1	8	506888
wide struct	fbs	decode	1	9	501969
wide struct	fbs	decode	2	1	516662
wide struct	fbs	decode	2	2	512152
wide struct	fbs	decode	2	3	516863
wide struct	fbs	decode	2	4	498950
wide struct	fbs	decode	2	5	492581
wide struct	fbs	decode	2	6	497758
wide struct	fbs	decode	2	7	487662
wide struct	fbs	decode	2	8	490899
wide struct	fbs	decode	2	9	497125
wide struct	serio	encode	1	1	121825
wide struct	serio	encode	1	2	119218
wide struct	serio	encode	1	3	119975
wide struct	serio	encode	1	4	120208
wide struct	serio	encode	1	5	117022
wide struct	serio	encode	1	6	119493
wide struct	serio	encode	1	7	121915
wide struct	serio	encode	1	8	121676
wide struct	serio	encode	1	9	120177
wide struct	serio	encode	2	1	120115
wide struct	serio	encode	2	2	117325
wide struct	serio	encode	2	3	118654
wide struct	serio	encode	2	4	117084
wide struct	serio	encode	2	5	117376
wide struct	serio	encode	2	6	116222
wide struct	serio	encode	2	7	118139
wide struct	serio	encode	2	8	117360
wide struct	serio	encode	2	9	118691
wide struct	serio	decode	1	1	237422
wide struct	serio	decode	1	2	237173
wide struct	serio	decode	1	3	245559
wide struct	serio	decode	1	4	244790
wide struct	serio	decode	1	5	240415
wide struct	serio	decode	1	6	243961
wide struct	serio	decode	1	7	244624
wide struct	serio	decode	1	8	242946
wide struct	serio	decode	1	9	246002
wide struct	serio	decode	2	1	253152
wide struct	serio	decode	2	2	252097
wide struct	serio	decode	2	3	254923
wide struct	serio	decode	2	4	242485
wide struct	serio	decode	2	5	246599
wide struct	serio	decode	2	6	247396
wide struct	serio	decode	2	7	246500
wide struct	serio	decode	2	8	241935
wide struct	serio	decode	2	9	248056
wide struct	blink	encode	1	1	1323724
wide struct	blink	encode	1	2	1312388
wide struct	blink	encode	1	3	1320397
wide struct	blink	encode	1	4	1314684
wide struct	blink	encode	1	5	1290019
wide struct	blink	encode	1	6	1263001
wide struct	blink	encode	1	7	1295725
wide struct	blink	encode	1	8	1298915
wide struct	blink	encode	1	9	1303401
wide struct	blink	encode	2	1	1303037
wide struct	blink	encode	2	2	1299139
wide struct	blink	encode	2	3	1255713
wide struct	blink	encode	2	4	1185688
wide struct	blink	encode	2	5	1288515
wide struct	blink	encode	2	6	1277385
wide struct	blink	encode	2	7	1285368
wide struct	blink	encode	2	8	1310136
wide struct	blink	encode	2	9	1290483
wide struct	blink	decode	1	1	429399
wide struct	blink	decode	1	2	440997
wide struct	blink	decode	1	3	473789
wide struct	blink	decode	1	4	469787
wide struct	blink	decode	1	5	464029
wide struct	blink	decode	1	6	477158
wide struct	blink	decode	1	7	467426
wide struct	blink	decode	1	8	467414
wide struct	blink	decode	1	9	462353
wide struct	blink	decode	2	1	484693
wide struct	blink	decode	2	2	492033
wide struct	blink	decode	2	3	485624
wide struct	blink	decode	2	4	468417
wide struct	blink	decode	2	5	460639
wide struct	blink	decode	2	6	469578
wide struct	blink	decode	2	7	471964
wide struct	blink	decode	2	8	468653
wide struct	blink	decode	2	9	464789
large array	surge	encode	1	1	123860
