# Trials behind speed.md. Written by `mise run bench:speed`; do not edit by hand.
# Date: 2026-09-24
# Roblox: 0.740.19.7400931
# Machine: 12th Gen Intel(R) Core(TM) i9-12900KF, 16 threads, win32 10.0.26200
# Runs: 2, back to back
# surge: 56b6fd5 (uncommitted changes)
# rbxts-transformer-surge: 0710f5d (uncommitted changes)
# roblox-ts: 3.0.0
# @rbxts/flamework-binary-serializer: 0.7.0
# @rbxts/serio: 1.2.7
# Blink: 0.18.8
# Method: 9 trials per cell, each at least 0.2 seconds of calls after 0.1 seconds of warm-up calls, timed in chunks of 250 calls so that the yields between chunks are not in the time; within a row the libraries take turns, one trial each, and 3 idle frames separate one row from the next
fixture	library	half	run	trial	rate
wide struct	fbs	encode	1	9	665584
wide struct	fbs	encode	2	1	731038
wide struct	fbs	encode	2	2	728318
wide struct	fbs	encode	2	3	748835
wide struct	fbs	encode	2	4	729086
wide struct	fbs	encode	2	5	727493
wide struct	fbs	encode	2	6	727910
wide struct	fbs	encode	2	7	724995
wide struct	fbs	encode	2	8	745423
wide struct	fbs	encode	2	9	738526
wide struct	fbs	decode	1	1	507396
wide struct	fbs	decode	1	2	509942
wide struct	fbs	decode	1	3	524361
wide struct	fbs	decode	1	4	513261
wide struct	fbs	decode	1	5	506240
wide struct	fbs	decode	1	6	523474
wide struct	fbs	decode	1	7	525002
wide struct	fbs	decode	1	8	526045
wide struct	fbs	decode	1	9	519285
wide struct	fbs	decode	2	1	518531
wide struct	fbs	decode	2	2	526568
wide struct	fbs	decode	2	3	516024
wide struct	fbs	decode	2	4	524183
wide struct	fbs	decode	2	5	515925
wide struct	fbs	decode	2	6	496234
wide struct	fbs	decode	2	7	518065
wide struct	fbs	decode	2	8	505290
wide struct	fbs	decode	2	9	482230
wide struct	serio	encode	1	1	119990
wide struct	serio	encode	1	2	119361
wide struct	serio	encode	1	3	118924
wide struct	serio	encode	1	4	119421
wide struct	serio	encode	1	5	118750
wide struct	serio	encode	1	6	119408
wide struct	serio	encode	1	7	119637
wide struct	serio	encode	1	8	121437
wide struct	serio	encode	1	9	119642
wide struct	serio	encode	2	1	118423
wide struct	serio	encode	2	2	117231
wide struct	serio	encode	2	3	115683
wide struct	serio	encode	2	4	116149
wide struct	serio	encode	2	5	118226
wide struct	serio	encode	2	6	116556
wide struct	serio	encode	2	7	117224
wide struct	serio	encode	2	8	115856
wide struct	serio	encode	2	9	116507
wide struct	serio	decode	1	1	249899
wide struct	serio	decode	1	2	247612
wide struct	serio	decode	1	3	248735
wide struct	serio	decode	1	4	247940
wide struct	serio	decode	1	5	246404
wide struct	serio	decode	1	6	246908
wide struct	serio	decode	1	7	252858
wide struct	serio	decode	1	8	248664
wide struct	serio	decode	1	9	250752
wide struct	serio	decode	2	1	249232
wide struct	serio	decode	2	2	249951
wide struct	serio	decode	2	3	249184
wide struct	serio	decode	2	4	246937
wide struct	serio	decode	2	5	248113
wide struct	serio	decode	2	6	248898
wide struct	serio	decode	2	7	248799
wide struct	serio	decode	2	8	251120
wide struct	serio	decode	2	9	240809
wide struct	blink	encode	1	1	1336820
